coutry_tag;header;body;class
FR;Azerbaijan says key Karabakh town captured, Armenia says it didn't happen;"Azerbaijan said Sunday its forces had captured the key town of Shusha from Armenian separatists in Nagorno-Karabakh, but Armenia insisted that fighting for the strategically vital area was ongoing.The capture of Shusha would be a major victory for Azerbaijan six weeks after new fighting erupted over Nagorno-Karabakh, an ethnic Armenian enclave that broke away from Azerbaijan's control in the 1990s.The fortress town sits on cliffs around 15 kilometres (nine miles) from Nagorno-Karabakh's largest city Stepanakert and on the main road through the region to the territory of Armenia, which backs the separatists.Both sides have reported fierce clashes around the town in recent days, after Azerbaijani forces swept across the southern flank of Nagorno-Karabakh and pushed through its mountain passes.In a televised address to the nation on Sunday, Azerbaijani President Ilham Aliyev announced that the town had been captured.""With great pride and joy, I inform you that the town of Shusha has been liberated,"" said Aliyev, dressed in military fatigues and standing in front of an Azerbaijani flag.""Our liberation march continues. We will go to the end, until the complete liberation of the occupied territories,"" Aliyev said.Celebrations in BakuFlag-waving Azerbaijanis celebrated in the capital Baku after Aliyev's announcement, with cars honking their horns as residents crowded along city streets despite coronavirus restrictions.""I did not leave the house for a week, but today I came out to say that Shusha has been liberated. We are happy, congratulations to all my people,"" 32-year-old Baku resident Shargiya Dadashova said.Armenian officials said the battle was far from over.""The fighting continues in Shushi, wait and believe in our army,"" Armenian defence ministry official Artsrun Hovhannisyan said, using the Armenian name for the town.Armenian defence ministry spokeswoman Shushan Stepanyan said there was ""the most ferocious combat"" for the town, while the Armenian government said taking Shusha was an ""unattainable pipe dream for Azerbaijan"".""Despite heavy destruction, the fortress city withstands the blows of the adversary,"" it said.In the streets of the Armenian capital Yerevan, residents said they did not believe the town had been taken.""To know who controls Shushi we will listen to the commanders of our army, not Aliyev,"" 50-year-old Arman said on the city's central Abovyan Street. ""In any case I can assure you that the war will not be finished if the Azerbaijanis take Shushi.""Shusha had been a majority Azerbaijani city before the 1990s conflict and has been a rallying cry for authorities in Baku promising to retake Nagorno-Karabakh.New clashes broke out in late September between Azerbaijan and the Armenia-backed separatists over control of Karabakh, which declared its independence nearly 30 years ago.That declaration has not been recognised internationally, even by Armenia, and it remains a part of Azerbaijan under international law.The recent flare-up has been the worst in decades, with more than 1,000 people confirmed dead including dozens of civilians, although the death toll is believed to be much higher. Diplomatic effortsFighting has continued despite several attempts by Russia, France and the United States to help reach a ceasefire. The three countries make up the ""Minsk Group"" of mediators that helped broker a truce between the ex-Soviet rivals in 1994 but have failed to find a lasting solution to the long-simmering conflict.Diplomatic efforts appeared to intensify as the fighting raged around Shusha, with Russian President Vladimir Putin on Saturday speaking by phone to Turkish counterpart Recep Tayyip Erdogan and French President Emmanuel Macron.Turkey is a key ally of Azerbaijan and on Sunday Erdogan congratulated Baku after its claim of retaking Shusha, saying it was ""a sign that the liberation of the rest of the occupied territories is near"".Turkish involvement would be key in any agreement to halt the fighting and there were reports Sunday of a plan to agree a ceasefire and deploy Russian and Turkish peacekeepers to Nagorno-Karabakh.Ankara has been a fierce supporter of Azerbaijan, a fellow Muslim and Turkic country, while Moscow has a defence pact with Armenia and a military base on its territory.Aliyev met Sunday with the Turkish foreign and defence ministers in Baku.Dmitry Trenin, a political analyst and head of the Moscow Carnegie Center, said the conflict had reached a ""decisive point"".""Russia and Turkey are finalising the modalities of (a) ceasefire, Armenian withdrawal, corridors and peacekeepers,"" he wrote on Twitter. ""New regional order is being sealed.""";E
FR;Armenia and Azerbaijan allege breaches as new ceasefire begins;"Armenia and Azerbaijan accused each other of violating the latest ceasefire to halt fighting over Nagorno-Karabakh shortly after it took effect on Monday.Azerbaijan's foreign ministry said Armenian forces had shelled the town of Terter and nearby villages in ""gross violation"" of the truce, which was announced by the United States on Sunday.Armenia's defence ministry said Azerbaijani forces had ""grossly violated"" the ceasefire with artillery fire on combat positions in various parts of the frontline.The latest ceasefire was due to take effect at 8 am local time (0400 GMT) on Monday, according to a joint statement by the US State Department and the governments of Azerbaijan and Armenia.""Congratulations to Armenian Prime Minister Nikol Pashinyan and Azerbaijani President Ilham Aliyev, who just agreed to adhere to a cease fire effective at midnight. Many lives will be saved,"" US President Donald Trump wrote on Twitter.The announcement came after US Secretary of State Mike Pompeo held separate meetings with the foreign ministers of Armenia and Azerbaijan in Washington on Friday.Those meetings were joined by the co-chairs of the OSCE Minsk Group, formed to mediate the conflict and led by France, Russia and the United States, which described them as ""intensive discussions"" on the ceasefire and the beginning of talks about core elements of a comprehensive solution.The Minsk Group said its co-chairs and the foreign ministers agreed to meet again in Geneva on October 29.A senior administration official expressed confidence that this ceasefire would hold. ""US leadership with support from Russia and France brings additional hope that the ceasefire will lead to a lasting peace settlement,"" said the official.But the eruption of new fighting on Sunday and the collapse of two previous ceasefires brokered by Russia raised questions about the prospects for this fresh push to end the clashes in Nagorno-Karabakh, a part of Azerbaijan populated and controlled by ethnic Armenians.Fears of wider conflictThe fighting that broke out on September 27 over the disputed territory has surged to its worst level since the 1990s, when some 30,000 people were killed.Local officials in Nagorno-Karabakh on Sunday accused Azeri forces of firing artillery on settlements in the areas of Askeran and Martuni during the night. Azerbaijan said its positions had been attacked with small arms, mortars, tanks and howitzers.Armenia accused Azeri forces of shelling civilian settlements. Baku denied killing civilians and said it was ready to implement a ceasefire, provided Armenian forces withdrew from the battlefield.The defence ministry of the Nagorno-Karabakh region said on Sunday it had recorded another 11 casualties among its forces, pushing the military death toll to 974.Earlier on Sunday during a meeting with defense officials, Aliyev accusd Armenia of bombarding civilian sites and launching two ballistic missiles on the city of Ganja.Armenian President Armen Sarkissian accused Baku of being ""aggressively stubborn and destructive"".World powers want to prevent a wider war that draws in Turkey, which has voiced strong support for Azerbaijan, and Russia, which has a defence pact with Armenia.Differences over the conflict have further strained relations between Ankara and its NATO allies, with Pompeo accusing Turkey of fuelling the conflict by arming the Azeri side. Ankara denies it has inflamed the conflict.Sarkissian, in comments reprinted by the Armenpress news agency, called on ""global players"" to step in immediately to bring about a ceasefire and said Russia was ""a trusted and pro-active mediator"" between the conflicting sides.Aliyev said it was ""very hazardous"" for Armenia to want Russian military support in the conflict and third parties should not get involved militarily.Russian President Vladimir Putin has said he speaks to leaders of Armenia and Azerbaijan several times a day by phone, and that he hopes the United States will help Moscow broker a solution to the conflict.About 30,000 people were killed in a 1991-94 war over Nagorno-Karabakh. Armenians regard the enclave as part of their historic homeland: Azeris consider it illegally occupied land that must be returned to their control. ";E
FR;Nagorno-Karabakh – Q&A from the press briefing (4 December 2020);Q: A question on Nagorno-Karabakh: will France recognize the territories annexed by Azerbaijan as being legitimately Azerbaijani?A: I refer you to the Minister’s speech yesterday before the National Assembly, especially with regard to questions on Nagorno-Karabakh, its administrative demarcation and its mode of governance, which must result from the negotiations we want to conduct with the parties in our capacity as co-chair of the OSCE Minsk Group.;E
FR;Armenia – Visit by Jean-Baptiste Lemoyne as part of the French humanitarian operation (Yerevan, 27-28 November 2020);Jean-Baptiste Lemoyne, Minister of State for Tourism, French Nationals Abroad and Francophonie, attached to the Minister for Europe and Foreign Affairs, visited Yerevan on November 17 and 28 accompanied by Kristina Aznavour, CEO of the Aznavour Foundation, and. Youri Djorkaeff, whom President Macron appointed to mobilize French aid for Armenia.This visit was in line with the humanitarian effort instituted by President Macron and Foreign Minister Le Drian for the population affected by the Nagorno-Karabakh conflict and was coordinated by the Ministry for Europe and Foreign Affairs’ Crisis and Support Center.The delegation led by the Minister of State arrived aboard an aircraft leased by the Ministry for Europe and Foreign Affairs that carried donations collected by the Aznavour Foundation and humanitarian cargo supplied by humanitarian organizations and corporate foundations. This flight followed an initial cargo flight that arrived in Yerevan on November 22 carrying official donations of emergency medical equipment, including a Mobile Medical Station capable of serving 500 people, blankets, and hygiene kits. Mr. Lemoyne delivered these donations in the presence of Armenian Health Minister Arsen Torosyan. He visited sites that receive French aid, including two hospitals that care for seriously wounded patients and a city hall that welcomes people who had to flee the conflict.Mr. Lemoyne was hosted by Armenian Prime Minister Nikol Pashinyan and Foreign Minister Ara Ayvazyan. He assured his interlocutors of France’s determination to work actively in support of a negotiated settlement to the Nagorno-Karabakh conflict in its capacity as Co-Chair of the Minsk Group. He was also welcomed at the Mother See of Holy Etchmiadzin by the Catholicos of All Armenians Karekin II, the supreme head of the Armenian Apostolic Church, to whom he reaffirmed France’s commitment to protecting the historic and religious heritage of the region, on which it works with UNESCO.;E
FR;Armenia - France establishing a mechanism to assist Armenians affected by the conflict in Nagorno-Karabakh (22 November 2020);At the request of President Macron and the Minister for Europe and Foreign Affairs, France is establishing a structured effort to assist Armenians affected by the conflict in Nagorno-Karabakh. Coordinated by a steering committee at the Ministry for Europe and Foreign Affairs’ Crisis and Support Center, this mechanism mobilizes the efforts of the government, associations promoting solidarity with Armenia, humanitarian organizations belonging to Coordination Sud, corporate foundations and hospitals. It focuses on three areas.1/ After initial emergency actions in recent weeks involving the dispatch of surgeons and medical/surgical supplies to Armenia, several humanitarian flights have been organized. An initial cargo plane leased by the Ministry for Europe and Foreign Affairs arrived in Yerevan this afternoon. It was transporting items donated by French authorities: emergency medical equipment, and in particular a Mobile Medical Station allowing for the care of 500 people as well as blankets and hygiene kits to be distributed to people affected by the conflict.A second flight has been scheduled for November 27. Its cargo will include State resources, donations collected from associations promoting solidarity with Armenia such as the Aznavour Foundation and the Union Générale Arménienne de Bienfaisance, and humanitarian cargo supplied by humanitarian organizations and corporate foundations.2/ Following on from the medical missions conducted since October, the second area of focus involves stepping up cooperation between hospitals in both countries. This will be facilitated by financial support from the Ministry for Europe and Foreign Affairs. In France, the public hospitals of Paris, Marseille and Lyon have already been mobilized.3/ The third area focuses on supporting projects instituted in Armenia by humanitarian organizations and UN agencies. France will provide direct financial support for these structures that are active on the ground.Finally, local governments, some of which are already actively supporting projects in Armenia, have been invited to contribute to these three areas of focus.This mechanism for providing humanitarian assistance comes in response to the emergency situation created by the conflict in Nagorno-Karabakh in recent weeks.In its capacity as co-chair of the OSCE Minsk Group together with Russia and the United States, France also remains fully committed to achieving a lasting solution to this conflict. /.;E
FR;Nagorno-Karabakh - Q&A from the press briefing (10 November 2020);Q : What is your view concerning the fact that Azerbaijan and Armenia have signed an agreement brokered by Russia to end hostilities in the Nagorno-Karabakh conflict?Q : The agreement signed on Nagorno-Karabakh was reached without the involvement of the Minsk Group. How is it still influential and relevant? Thank you.R : Please refer to the statement made today by Jean-Yves Le Drian, Minister for Europe and Foreign Affairs.;N
GE;"Trenin: ""The Armenians Will Have to Eat their Bitter Humble Pie"" & Georgia Draw Lessons";The second Karabakh War is seemingly over, and as one side celebrates and another mourns, experts, opinion makers and their ilk are trying to gauge what the Kremlin-brokered, Erdogan-approved truce might bring. How will the power balance change in the region, who are the winners and losers, and, finally, what impact will it have on Georgia? These are the topics GEORGIA TODAY put to one of the Moscow Carnegie Center's most prominent faces, Dmitri Trenin.By far the most important and basic question is how does this new deal change the power balance in the region?It establishes a new balance in the region, a new regional order if you like, which is supported by two of three principal powers outside the region: one is Russia, the other Turkey. I think this new order legitimizes Turkey's inclusion in the South Caucasus balance. Turkey has certainly increased its profile in the South Caucasus, while Russia has reconfigured its role in the region, becoming the one power that can act as a mediator between Azerbaijan and Armenia. Turkey will not be able to perform that role. Then again, we have to realize that Moscow is no longer the dominant power in the South Caucasus, has not been for a long time now, in fact, and I don't think Moscow will recover that position. Azerbaijan will be very much aligned with Turkey, Armenia is under a question mark, but Russia has rediscovered its role as the only power that is accepted both in Yerevan and Baku, and that provides it with potent leverage. Let us not forget that Russia is very worried about the stability of the of the northern Caucasus, an area where it fears, should the war in Karabakh continue, there will be more jihadis, more outsiders from outside the region who come to Karabakh and stay in the Caucasus. An influx of jihadis from outside the region would be bitter irony for Russia- to have fought the jihadists in Syria only to see them much closer to home.Why did Russia remain so inactive and only now manage to broker a truce? Was it premeditated?I would disagree that Russia played a waiting game to mediate a truce between Armenia and Azerbaijan. They tried to broker a truce exactly a month ago, when the situation was very different, and no-one can say that it was a pro-forma exercise. I think the motivation of the Russian side was to stop the conflict as soon as possible. My chief argument is that Russia cares more about the northern Caucasus than it does about the southern.A counter argument to that would be that genuine ceasefires brokered by Russia are not usually violated in 7 hours, as happened here. This new one does not look like it will be violated anytime soon.No, because continuation of the war would lead to the utter and complete defeat of Armenia, very likely the total banishment of Armenians from Karabakh, and the total seizure of the entire territory by Azerbaijani forces. That is what essentially made the Armenian side agree to the ceasefire.Azerbaijan has been exercising this policy of strategic patience and militarization for 26 years, and it has been enjoying military superiority over Yerevan for more than a decade. Why act now?There was a confluence of several factors, one of which was the Turkish factor. Turkey played a major role and, as we know, in the months preceding the war, supplied Azerbaijan with lots of hardware, lots of expertise that the Azerbaijanis used in this war. It was also the time when the United States is distracted with its own election and then the transfer of power. Thirdly, President Aliyev benefited from Russia’s displeasure and distrust of Pashinyan and his government. He kept stressing in interviews with the Russian media “you have a Soros-appointed prime minister in Armenia who is not really your friend.” The moment was opportune for Aliyev. I think he decided to launch what they call a counter-offensive against the offensive that stopped 26 years ago.Do you see Russia using the peacekeepers, who will control the Lachine corridor, as a leverage to keep Armenia under its thumb?They will control the Lachine corridor, and that will give them leverage, no question about that. Russians are looking at their alliances, and one school of thought in Moscow is that “if people want our protection, they have to be good allies: they have to stand with us: they shouldn't be ashamed by being closer to us because you know you cannot expect Russia to bail you out and at the same time try to impress the West how pro-Western you are: you need to choose.” If Russia holds the keys to important Armenian positions, then it indeed has leverage, and if Armenians want to reject that kind of arrangement, they are free to do so as a separate country. The pro-Western part of Armenian society could ask themselves why the US hasn’t done more for them, and if the US is not available for whatever reason as your protector, then even though you may have reservations, you have to be a good and honest ally to Russia.Are we talking about alliances here, or vassalage?I don’t think the term vassalage belongs in today's world, it doesn't belong in an analytical vocabulary, it belongs in the vocabulary of calling names. Mr Putin calls European countries “American vassals.” What it means is that you have to be seriously and honestly friendly toward Russia: have a genuine, sincere alliance with Russia. It's more like a wedding: if you wed somebody, it doesn't mean that you are somebody's vassal, but it certainly means that there are certain rules to be observed, there are certain things that you will not do as long as you want to keep that marriage going. Of course, you can get out of that marriage, and even marry somebody else: it's a free choice.How is that different from creating the spheres of influence that are so derided today?Russia’s sphere of influence in reality is very small: it includes very close to Abkhazia, South Ossetia, and Donbas. Russia is working very hard to reconfigure its relationship with Belarus as we speak, that's very important. What Belarus is being offered is not a sphere of influence, it's something different, it's very close to integration.What about Armenia? Will it remain Pro-Russian?Armenia is not a Russian sphere of influence. I think the Armenians will have to eat their humble pie, which is very bitter, and I think there's a tremendous disappointment. I hope that Armenia will use this: defeat is always an opportunity, as when you are defeated, you become self-critical. I hope it doesn't turn the Armenian political class into a bunch of revanchists.On to Turkey. How does its increased presence in the South Caucasus change things?I think we’re living in a world now in which regional powers are more empowered than ever. Turkey has not become the dominant power in the South Caucasus as a result of the second Karabakh War, but they have gained not only a foothold, but a legitimized presence with another great power. Moscow will have to take Ankara more into account, that's for sure. Moscow and Ankara are rivals, but they are also partners in a limited sense of the word. They managed to compete, and they managed to negotiate and reach deals, and it gives you a promise that Turkey and Russia will not clash. I hope that they don’t clash.After trying the diplomacy approach for 26 years without luck, Baku achieved what it wanted in month and half through military might. Will it lead onlookers to think this is the only way to get back what you think is rightfully yours in Post-Soviet conflicts?An interesting question. All supposedly frozen conflicts can unfreeze at some point, and this is something that I'm saying here to the Russian audience: watch Karabakh and come to the conclusion that other conflicts can suddenly unfreeze and then confront you with a real security issue. Here, I’m talking primarily about Transnistria, but also about others.There are also situations when Moscow itself unfreezes conflicts. Do you see Russia trying to unfreeze the conflicts in Georgia?I think Russia is satisfied today, having Abkhazia and South Ossetia as its military bases. Does Russia want more? I don't think so. I mean, Russia in 2008 could have sent its military into Tbilisi. They chose not to do that not because of the French or the Western efforts: they exercised restraint based on their calculus of the negatives that would have surely followed after the Russian military's entry into Tbilisi. in 2014, there were people who argued that Russia should not stop with Crimea and Donbas and should march on Kiev and keep Ukraine under control. I think Putin chose wisely not to do so. Even today, Russia could have sent forces into Belarus to prop up Lukashenko, but they didn't. There are certain things you can do, but you would rather not because the negatives of doing so far outweigh the positives.What are the negatives?In Georgia, Russia doesn't really need Georgia: it needs Abkhazia to protect Sochi, which is Russia's de facto third capital: with Georgia very friendly with the US and potentially an American base in the future, they would want to have some protection from that side. South Ossetia places the Russian military within an hour's drive of Tbilisi: it's like a gun to your temple. Russia doesn't need more. Does it want to fight to make Georgia…what? To make it another Armenia? There are so many people in Georgia who are anti-Russian, what would you do with them? Once you step into such a territory, it would require a massive infusion of capital and money. Russia doesn't have that money to spend on Georgia, and even with Abkhazia and South Ossetia there are issues. The empire that could afford that, glorious as it was for many Russians, is history.Does the Nakhichevan corridor which has been speculated, if it materializes, threaten Georgia's transit country status?I would doubt it would play a very important role. There will be a competitor to the transit lines that run through Georgia, yes, but I don't think Azerbaijan will place so much of its transit in the hands of the Russians who will patrol the corridor. The status of Georgia as a transit country is not in danger.Any other impact this second Karabakh war could have on Georgia?It’s a useful warning that it's better to have conflicts resolved diplomatically: I think it applies to Georgia. there are two things I’ll say: the Abkhaz would not want to live under Georgian rule, and I think that it applies vice versa: I don't think the Georgian people who live in Abkhazia are happy to live under Abkhaz rule. The second thing I think is true is that South Ossetia will never be a full-fledged state. In happier times, before the Russian-Georgian war. I often mused about the future status of South Ossetia as some sort of Andorra that is a separate state but both Spain and France regard it as part of its own territory and it can function, with three statuses merged into one. You can do these things, I mean, there's no limit to how resourceful diplomats can be.That would be a kind of marriage between Russia and Georgia?Yes. Whether that’s still on the cards is another question though. It’s something that perhaps needs to be given more thought.;N
GE;Hans Gutbrod on Karabakh: Peace Perspectives & the Impact on Georgia;As the rest of the expert and opinion making world is busy trying to determine who the winners are and what the next clever scheme of Putin’s might be, Ilia State University's Professor Hans Gutbrod discusses peace perspectives after the Karabakh truce.“For now, this is a ceasefire: we will still need to see how actual peace arrangements develop, and everything will hinge on this,” he says. “The question of Karabakh had been hanging over the Caucasus like a Sword of Damocles. Now that sword is down, with painful losses, and for the time being, it is still a moment of grief.“But beyond that grief, if we manage not to put another Sword of Damocles up, that would be an achievement. At least the question of returning hundreds of thousands of displaced Azerbaijanis may be resolved, and this could be a new beginning. If the settlement gives a dignified solution to Armenia, this would greatly help long-term stability.”How does this new deal change the power balance in the region?Perceptive Russian analysts have pointed out that Russian engagement in Syria could be seen as a trial-run for Central Asia: how do you keep stability in a country where the president is the not-particularly-competent son of an authoritarian leader, while keeping Russian military engagement as small as possible? It's not necessarily that the Russians believe these authoritarian leaders are great, but more that they don't see a viable alternative to stability. While people in Georgia know the downsides of Russia, it’s worth remembering that the West hasn't delivered great solutions in these difficult contexts either, not in Syria or Libya, nor in Afghanistan. Russia may soon face this substantial challenge in Central Asia, with multiple transitions, right on their doorstep, and with quite a few ethnic Russians as well.If we follow that interpretation, the Kremlin learned in Syria that they could live, broadly, in sorting these arrangements with Turkey, even if Turkey was on the other side: both sides kept out the West, looked after their own interests, soaked up local constituencies as allies, and kept out the radical Islamists, which are a worry both for Russia and for Turkey. In that way, Russia may have felt that even when they are on the other side, Turkey plays by the same rules of the game, and that they are broadly comfortable with having them in the region, also to keep out China, which will be a concern in Central Asia. Karabakh may just be part of this much broader understanding.Again, this puts it into an incredibly broad sweep, but there may be something to this perspective.On the impact of Russian peacekeepers in particular: how is it going to affect things?Russian peacekeepers are apparently seen as a very big factor for Azerbaijan. In the end, I'm not sure how substantive they will be, as it’s a small contingent. It's more of a tripwire, and a way for Azerbaijan to have a presence that explains, internally, why they don't take over Stepanakert. This certainly was a popular demand, but would have created all sorts of problems, ranging from potential ethnic cleansing, to potentially having an unhappy Armenian minority. Notably, the former US diplomat Matt Bryza, well known in Georgia and now working with oil-connected companies in Azerbaijan, warned that Azerbaijan would have “international pariah status” if it engaged in mass ethnic cleansing.Who are the winners and losers?First, the losers are all the families that have lost a son, a father, a brother or an uncle. This is what war does: it brings irrevocable loss. When speaking about the future, one may want to recall that many families may not even have buried their dead yet. This is a time of grief.Second, it is still a bit unclear who the winners will be. You can win a conflict, but still lose the peace: arguably this is what happened to Armenia, which won in 1994, but didn't manage to turn this into a lasting peace, and we have been living in that warped world of closed borders and armed front lines for almost three decades. I think the challenge now is to find something that will actually open up the region, and to build something that gives us the prospect of leaving all this terrible past behind.The fact that Azerbaijan’s strategic patience and militarization approach actually enabled them to achieve their goals might be seen as a demonstration that it’s the way to go for other countries.Various countries will look at this with great attention, to figure out what the lessons for them are. Practically everywhere, you see discussion on the use of drones. It's an unpleasant subject, but the war was a little bit like cavalry against machine guns. That said, one can expect that militaries will adapt quite quickly, and more developed countries will find this easier.One should be careful not to exaggerate: in this case, Azerbaijan had Israeli weapons, Turkish weapons and officers, outsized wealth compared to Armenia, and Armenia's strategic partner decided not to take an interest. This is a rare alignment, and I'm not sure that, say, Ukraine, can learn much when it comes to its own separatist territories.What does the future hold for Karabakh itself and its status?Again, I think this will become apparent in the upcoming negotiations. If Azerbaijan and Turkey play this well, it’s possible there will be arrangements that Armenians can live with: that give them dignity in the moment of defeat: in which borders open, trade begins, people can (cautiously) cross back and forth. The key is to avoid the mistakes of the past, and to try to push for a solution that the various sides can live with, with dignity.This is a radical thing to say, but I think it might make sense to think about a much more comprehensive settlement of conflicts beyond Karabakh, too, so that societies can focus on making life better for their citizens, and addressing the many pressing challenges.Could it be a lesson for the West on how games are played in this region?The West is very good at a particular kind of politics, at developing institutions, at being respectful to its own citizens, at building social infrastructure, and creating a desirable place to live. The very people that often speak dismissively of the West buy expensive apartments in Chelsea or Manhattan, and send their children to boarding school in Switzerland.At the same time, the West just isn't good at cutting through the proverbial Gordic knot. That's not how Western bureaucracies function.The West will maintain a strong role, but for different kinds of games. These games, if that’s the right term, are actually really important to make lives better for citizens by developing economic institutions, capital markets regional integration, and delivering good education. In that way, I think the West will likely continue to matter in the region.What will the impact be for Tbilisi?Right now, I think it’s just a huge relief that the fighting is coming to an end. To thrive, Georgia needs to live in a peaceful Caucasus.Perhaps this is a moment to recognize both the Azerbaijanis and Armenians in Georgia, as well as the Georgian authorities, for their managing to keep the peace, in what was a terribly difficult time. There were small gestures, such as the Saturday night vigil for peace by Malkhaz Songulashvili, the Metropolitan Bishop, assisted by both Azerbaijani and Armenia religious figures. This was admirable, in such a difficult time. It has been said many times, but I do think that Georgia can be a model for coexistence between Armenians and Azerbaijanis.Does the potential Nakhichevan corridor and border with Turkey threaten Georgia’s transit country status?The potential corridor does reduce Georgia's transit country status, but this may not be a bad thing for the country. As the writer and critic Akaki Bakradze said a long time ago, carrying a freshly cooked chicken past me gives me the smell, but not the food. I'm not convinced that hundreds of trucks crossing Georgia every day leave that much in terms of revenue and development. I think it makes more sense to focus on other areas of development, including high-revenue tourism, export agriculture and manufacturing. These are the fields of real opportunity, and will require much more patient work to turn into a success.;N
GE;Russia, Turkey Agree Creation of Nagorno-Karabakh Ceasefire Monitoring Center;"The Russian and Turkish defense ministers signed an agreement on Wednesday on the establishment of a joint ceasefire control center in Nagorno-Karabakh.""The memorandum of creation of a joint Russian-Turkish center for ceasefire supervision in Nagorno-Karabakh has been signed following videoconference talks between Russian Defense Minister Sergei Shoigu and his Turkish counterpart Hulusi Akar, the Russian Defense Ministry reported Wednesday,"" news agency TASS reports. The memorandum sets out the goals and principles of the joint supervision center.According to Shoigu, the agreements reached by the presidents of Russia and Azerbaijan, the Armenian Prime Minister and the deployment of Russian peacekeepers to the conflict zone made it possible to stop hostilities, end the bloodshed, and lay down conditions to returning to a peaceful life.""The presence of Russian peacekeepers will ensure stability in the crisis region, stop flows of refugees, and will facilitate their return to places of residencies,"" the Russian minister stressed. He also added, ""the decision to create a joint monitoring center will allow the exercising of control over compliance with the ceasefire by the parties and will form a strong basis to settle the longstanding conflict.""""The center will be located in Azerbaijan. It is noted that the center will collect, summarize and verify information about the implementation of the ceasefire by the parties and other actions that violate the agreements reached. It is also tasked with documenting violations via visual supervision, UAVs, and assessing data from other sources. The center will become a body for considering any complaints, issues or problems regarding violation of the agreements reached,"" reports TASS.On November 10, Armenia, Azerbaijan and Russia signed an agreement to end the military conflict over the disputed region of Nagorno-Karabakh.The new ceasefire agreement prompted anger in Armenia, with protesters storming Parliament and calling Armenian PM Pashinyan ""traitor.""";A
GE;Phone Conversation between Georgian, Armenian PMs;Georgian Prime Minister Giorgi Gakharia and Armenian Prime Minister Nikol Pashinyan held a phone conversation yesterday.The parties discussed the situation surrounding Nagorno-Karabakh, emphasizing the importance of the comprehensive ceasefire agreement and expressing hope of positive dynamics in the process of its implementation.The Prime Ministers pointed out the significance of peaceful conflict-resolution in the South Caucasus for the stability and development of the region's countries.;N
GE;Georgia Hopes Nagorno-Karabakh Deal will Contribute to Full-scale Resolution of Conflict;"Georgia expresses hope that ""The ceasefire agreement reached between Azerbaijan and Armenia will contribute to the full-scale resolution of the conflict,"" reads the statement issued by the Foreign Ministry.""Georgia supports the dialogue between both parties. Furthermore, we express the readiness to contribute to the peace process, together with the international community.We believe that the international community’s active efforts and the enforcement of multilateral international mechanisms will have their effect on ensuring long-term peace that will open up new opportunities for the region as a whole,"" the MFA stated.";N
